TR_CEDAR_FIRST_000001 | Original synthetic cedar relay protocol observations.
0002 | relay=cedar_2 | phase=committed | sequence=26 | window=3 | note=Keep the prior receipt until the next checkpoint is confirmed.
0037 | relay=cedar_3 | phase=validated | sequence=481 | window=15 | note=Keep the prior receipt until the next checkpoint is confirmed.
0038 | relay=cedar_4 | phase=committed | sequence=494 | window=16 | note=Keep the prior receipt until the next checkpoint is confirmed.
0039 | relay=cedar_5 | phase=acknowledged | sequence=507 | window=17 | note=Keep the prior receipt until the next checkpoint is confirmed.
0040 | relay=cedar_6 | phase=queued | sequence=520 | window=18 | note=Keep the prior receipt until the next checkpoint is confirmed.
0041 | relay=cedar_7 | phase=validated | sequence=533 | window=19 | note=Keep the prior receipt until the next checkpoint is confirmed.
0042 | relay=cedar_8 | phase=committed | sequence=546 | window=20 | note=Keep the prior receipt until the next checkpoint is confirmed.
0043 | relay=cedar_9 | phase=acknowledged | sequence=559 | window=21 | note=Keep the prior receipt until the next checkpoint is confirmed.
0044 | relay=cedar_10 | phase=queued | sequence=572 | window=22 | note=Keep the prior receipt until the next checkpoint is confirmed.
0045 | relay=cedar_11 | phase=validated | sequence=585 | window=23 | note=Keep the prior receipt until the next checkpoint is confirmed.
0046 | relay=cedar_12 | phase=committed | sequence=598 | window=1 | note=Keep the prior receipt until the next checkpoint is confirmed.
0047 | relay=cedar_13 | phase=acknowledged | sequence=611 | window=2 | note=Keep the prior receipt until the next checkpoint is confirmed.
0048 | relay=cedar_14 | phase=queued | sequence=624 | window=3 | note=Keep the prior receipt until the next checkpoint is confirmed.
0049 | relay=cedar_15 | phase=validated | sequence=637 | window=4 | note=Keep the prior receipt until the next checkpoint is confirmed.
0050 | relay=cedar_16 | phase=committed | sequence=650 | window=5 | note=Keep the prior receipt until the next checkpoint is confirmed.
0051 | relay=cedar_0 | phase=acknowledged | sequence=663 | window=6 | note=Keep the prior receipt until the next checkpoint is confirmed.
0052 | relay=cedar_1 | phase=queued | sequence=676 | window=7 | note=Keep the prior receipt until the next checkpoint is confirmed.
0053 | relay=cedar_2 | phase=validated | sequence=689 | window=8 | note=Keep the prior receipt until the next checkpoint is confirmed.
0054 | relay=cedar_3 | phase=committed | sequence=702 | window=9 | note=Keep the prior receipt until the next checkpoint is confirmed.
0055 | relay=cedar_4 | phase=acknowledged | sequence=715 | window=10 | note=Keep the prior receipt until the next checkpoint is confirmed.
0056 | relay=cedar_5 | phase=queued | sequence=728 | window=11 | note=Keep the prior receipt until the next checkpoint is confirmed.
0057 | relay=cedar_6 | phase=validated | sequence=741 | window=12 | note=Keep the prior receipt until the next checkpoint is confirmed.
0058 | relay=cedar_7 | phase=committed | sequence=754 | window=13 | note=Keep the prior receipt until the next checkpoint is confirmed.
0059 | relay=cedar_8 | phase=acknowledged | sequence=767 | window=14 | note=Keep the prior receipt until the next checkpoint is confirmed.
0060 | relay=cedar_9 | phase=queued | sequence=780 | window=15 | note=Keep the prior receipt until the next checkpoint is confirmed.
0061 | relay=cedar_10 | phase=validated | sequence=793 | window=16 | note=Keep the prior receipt until the next checkpoint is confirmed.
0062 | relay=cedar_11 | phase=committed | sequence=806 | window=17 | note=Keep the prior receipt until the next checkpoint is confirmed.
0063 | relay=cedar_12 | phase=acknowledged | sequence=819 | window=18 | note=Keep the prior receipt until the next checkpoint is confirmed.
0064 | relay=cedar_13 | phase=queued | sequence=832 | window=19 | note=Keep the prior receipt until the next checkpoint is confirmed.
0065 | relay=cedar_14 | phase=validated | sequence=845 | window=20 | note=Keep the prior receipt until the next checkpoint is confirmed.
0066 | relay=cedar_15 | phase=committed | sequence=858 | window=21 | note=Keep the prior receipt until the next checkpoint is confirmed.
0067 | relay=cedar_16 | phase=acknowledged | sequence=871 | window=22 | note=Keep the prior receipt until the next checkpoint is confirmed.
0068 | relay=cedar_0 | phase=queued | sequence=884 | window=23 | note=Keep the prior receipt until the next checkpoint is confirmed.
0069 | relay=cedar_1 | phase=validated | sequence=897 | window=1 | note=Keep the prior receipt until the next checkpoint is confirmed.
0070 | relay=cedar_2 | phase=committed | sequence=910 | window=2 | note=Keep the prior receipt until the next checkpoint is confirmed.
0071 | relay=cedar_3 | phase=acknowledged | sequence=923 | window=3 | note=Keep the prior receipt until the next checkpoint is confirmed.
0072 | relay=cedar_4 | phase=queued | sequence=936 | window=4 | note=Keep the prior receipt until the next checkpoint is confirmed.
0073 | relay=cedar_5 | phase=validated | sequence=949 | window=5 | note=Keep the prior receipt until the next checkpoint is confirmed.
0074 | relay=cedar_6 | phase=committed | sequence=962 | window=6 | note=Keep the prior receipt until the next checkpoint is confirmed.
0075 | relay=cedar_7 | phase=acknowledged | sequence=975 | window=7 | note=Keep the prior receipt until the next checkpoint is confirmed.
0076 | relay=cedar_8 | phase=queued | sequence=988 | window=8 | note=Keep the prior receipt until the next checkpoint is confirmed.
0077 | relay=cedar_9 | phase=validated | sequence=1001 | window=9 | note=Keep the prior receipt until the next checkpoint is confirmed.
0078 | relay=cedar_10 | phase=committed | sequence=1014 | window=10 | note=Keep the prior receipt until the next checkpoint is confirmed.
0079 | relay=cedar_11 | phase=acknowledged | sequence=1027 | window=11 | note=Keep the prior receipt until the next checkpoint is confirmed.
0080 | relay=cedar_12 | phase=queued | sequence=1040 | window=12 | note=Keep the prior receipt until the next checkpoint is confirmed.
0081 | relay=cedar_13 | phase=validated | sequence=1053 | window=13 | note=Keep the prior receipt until the next checkpoint is confirmed.
0082 | relay=cedar_14 | phase=committed | sequence=1066 | window=14 | note=Keep the prior receipt until the next checkpoint is confirmed.
0083 | relay=cedar_15 | phase=acknowledged | sequence=1079 | window=15 | note=Keep the prior receipt until the next checkpoint is confirmed.
0084 | relay=cedar_16 | phase=queued | sequence=1092 | window=16 | note=Keep the prior receipt until the next checkpoint is confirmed.
0085 | relay=cedar_0 | phase=validated | sequence=1105 | window=17 | note=Keep the prior receipt until the next checkpoint is confirmed.
0086 | relay=cedar_1 | phase=committed | sequence=1118 | window=18 | note=Keep the prior receipt until the next checkpoint is confirmed.
0087 | relay=cedar_2 | phase=acknowledged | sequence=1131 | window=19 | note=Keep the prior receipt until the next checkpoint is confirmed.
0088 | relay=cedar_3 | phase=queued | sequence=1144 | window=20 | note=Keep the prior receipt until the next checkpoint is confirmed.
0089 | relay=cedar_4 | phase=validated | sequence=1157 | window=21 | note=Keep the prior receipt until the next checkpoint is confirmed.
0090 | relay=cedar_5 | phase=committed | sequence=1170 | window=22 | note=Keep the prior receipt until the next checkpoint is confirmed.
0091 | relay=cedar_6 | phase=acknowledged | sequence=1183 | window=23 | note=Keep the prior receipt until the next checkpoint is confirmed.
0092 | relay=cedar_7 | phase=queued | sequence=1196 | window=1 | note=Keep the prior receipt until the next checkpoint is confirmed.
0093 | relay=cedar_8 | phase=validated | sequence=1209 | window=2 | note=Keep the prior receipt until the next checkpoint is confirmed.
0094 | relay=cedar_9 | phase=committed | sequence=1222 | window=3 | note=Keep the prior receipt until the next checkpoint is confirmed.
0095 | relay=cedar_10 | phase=acknowledged | sequence=1235 | window=4 | note=Keep the prior receipt until the next checkpoint is confirmed.
0096 | relay=cedar_11 | phase=queued | sequence=1248 | window=5 | note=Keep the prior receipt until the next checkpoint is confirmed.
0097 | relay=cedar_12 | phase=validated | sequence=1261 | window=6 | note=Keep the prior receipt until the next checkpoint is confirmed.
0098 | relay=cedar_13 | phase=committed | sequence=1274 | window=7 | note=Keep the prior receipt until the next checkpoint is confirmed.
0099 | relay=cedar_14 | phase=acknowledged | sequence=1287 | window=8 | note=Keep the prior receipt until the next checkpoint is confirmed.
0100 | relay=cedar_15 | phase=queued | sequence=1300 | window=9 | note=Keep the prior receipt until the next checkpoint is confirmed.
0101 | relay=cedar_16 | phase=validated | sequence=1313 | window=10 | note=Keep the prior receipt until the next checkpoint is confirmed.
0102 | relay=cedar_0 | phase=committed | sequence=1326 | window=11 | note=Keep the prior receipt until the next checkpoint is confirmed.
0103 | relay=cedar_1 | phase=acknowledged | sequence=1339 | window=12 | note=Keep the prior receipt until the next checkpoint is confirmed.
0104 | relay=cedar_2 | phase=queued | sequence=1352 | window=13 | note=Keep the prior receipt until the next checkpoint is confirmed.
0105 | relay=cedar_3 | phase=validated | sequence=1365 | window=14 | note=Keep the prior receipt until the next checkpoint is confirmed.
0106 | relay=cedar_4 | phase=committed | sequence=1378 | window=15 | note=Keep the prior receipt until the next checkpoint is confirmed.
0107 | relay=cedar_5 | phase=acknowledged | sequence=1391 | window=16 | note=Keep the prior receipt until the next checkpoint is confirmed.
0108 | relay=cedar_6 | phase=queued | sequence=1404 | window=17 | note=Keep the prior receipt until the next checkpoint is confirmed.
0109 | relay=cedar_7 | phase=validated | sequence=1417 | window=18 | note=Keep the prior receipt until the next checkpoint is confirmed.
0110 | relay=cedar_8 | phase=committed | sequence=1430 | window=19 | note=Keep the prior receipt until the next checkpoint is confirmed.
0111 | relay=cedar_9 | phase=acknowledged | sequence=1443 | window=20 | note=Keep the prior receipt until the next checkpoint is confirmed.
0112 | relay=cedar_10 | phase=queued | sequence=1456 | window=21 | note=Keep the prior receipt until the next checkpoint is confirmed.
0113 | relay=cedar_11 | phase=validated | sequence=1469 | window=22 | note=Keep the prior receipt until the next checkpoint is confirmed.
0114 | relay=cedar_12 | phase=committed | sequence=1482 | window=23 | note=Keep the prior receipt until the next checkpoint is confirmed.
0115 | relay=cedar_13 | phase=acknowledged | sequence=1495 | window=1 | note=Keep the prior receipt until the next checkpoint is confirmed.
0116 | relay=cedar_14 | phase=queued | sequence=1508 | window=2 | note=Keep the prior receipt until the next checkpoint is confirmed.
0117 | relay=cedar_15 | phase=validated | sequence=1521 | window=3 | note=Keep the prior receipt until the next checkpoint is confirmed.
0118 | relay=cedar_16 | phase=committed | sequence=1534 | window=4 | note=Keep the prior receipt until the next checkpoint is confirmed.
0119 | relay=cedar_0 | phase=acknowledged | sequence=1547 | window=5 | note=Keep the prior receipt until the next checkpoint is confirmed.
0120 | relay=cedar_1 | phase=queued | sequence=1560 | window=6 | note=Keep the prior receipt until the next checkpoint is confirmed.
0121 | relay=cedar_2 | phase=validated | sequence=1573 | window=7 | note=Keep the prior receipt until the next checkpoint is confirmed.
0122 | relay=cedar_3 | phase=committed | sequence=1586 | window=8 | note=Keep the prior receipt until the next checkpoint is confirmed.
0123 | relay=cedar_4 | phase=acknowledged | sequence=1599 | window=9 | note=Keep the prior receipt until the next checkpoint is confirmed.
0124 | relay=cedar_5 | phase=queued | sequence=1612 | window=10 | note=Keep the prior receipt until the next checkpoint is confirmed.
0125 | relay=cedar_6 | phase=validated | sequence=1625 | window=11 | note=Keep the prior receipt until the next checkpoint is confirmed.
0126 | relay=cedar_7 | phase=committed | sequence=1638 | window=12 | note=Keep the prior receipt until the next checkpoint is confirmed.
0127 | relay=cedar_8 | phase=acknowledged | sequence=1651 | window=13 | note=Keep the prior receipt until the next checkpoint is confirmed.
0128 | relay=cedar_9 | phase=queued | sequence=1664 | window=14 | note=Keep the prior receipt until the next checkpoint is confirmed.
0129 | relay=cedar_10 | phase=validated | sequence=1677 | window=15 | note=Keep the prior receipt until the next checkpoint is confirmed.
0130 | relay=cedar_11 | phase=committed | sequence=1690 | window=16 | note=Keep the prior receipt until the next checkpoint is confirmed.
0131 | relay=cedar_12 | phase=acknowledged | sequence=1703 | window=17 | note=Keep the prior receipt until the next checkpoint is confirmed.
0132 | relay=cedar_13 | phase=queued | sequence=1716 | window=18 | note=Keep the prior receipt until the next checkpoint is confirmed.
0133 | relay=cedar_14 | phase=validated | sequence=1729 | window=19 | note=Keep the prior receipt until the next checkpoint is confirmed.
0134 | relay=cedar_15 | phase=committed | sequence=1742 | window=20 | note=Keep the prior receipt until the next checkpoint is confirmed.
0135 | relay=cedar_16 | phase=acknowledged | sequence=1755 | window=21 | note=Keep the prior receipt until the next checkpoint is confirmed.
0136 | relay=cedar_0 | phase=queued | sequence=1768 | window=22 | note=Keep the prior receipt until the next checkpoint is confirmed.
0137 | relay=cedar_1 | phase=validated | sequence=1781 | window=23 | note=Keep the prior receipt until the next checkpoint is confirmed.
0138 | relay=cedar_2 | phase=committed | sequence=1794 | window=1 | note=Keep the prior receipt until the next checkpoint is confirmed.
0139 | relay=cedar_3 | phase=acknowledged | sequence=1807 | window=2 | note=Keep the prior receipt until the next checkpoint is confirmed.
0140 | relay=cedar_4 | phase=queued | sequence=1820 | window=3 | note=Keep the prior receipt until the next checkpoint is confirmed.
0141 | relay=cedar_5 | phase=validated | sequence=1833 | window=4 | note=Keep the prior receipt until the next checkpoint is confirmed.
0142 | relay=cedar_6 | phase=committed | sequence=1846 | window=5 | note=Keep the prior receipt until the next checkpoint is confirmed.
0143 | relay=cedar_7 | phase=acknowledged | sequence=1859 | window=6 | note=Keep the prior receipt until the next checkpoint is confirmed.
0144 | relay=cedar_8 | phase=queued | sequence=1872 | window=7 | note=Keep the prior receipt until the next checkpoint is confirmed.
0145 | relay=cedar_9 | phase=validated | sequence=1885 | window=8 | note=Keep the prior receipt until the next checkpoint is confirmed.
0146 | relay=cedar_10 | phase=committed | sequence=1898 | window=9 | note=Keep the prior receipt until the next checkpoint is confirmed.
0147 | relay=cedar_11 | phase=acknowledged | sequence=1911 | window=10 | note=Keep the prior receipt until the next checkpoint is confirmed.
0148 | relay=cedar_12 | phase=queued | sequence=1924 | window=11 | note=Keep the prior receipt until the next checkpoint is confirmed.
0149 | relay=cedar_13 | phase=validated | sequence=1937 | window=12 | note=Keep the prior receipt until the next checkpoint is confirmed.
0150 | relay=cedar_14 | phase=committed | sequence=1950 | window=13 | note=Keep the prior receipt until the next checkpoint is confirmed.
0151 | relay=cedar_15 | phase=acknowledged | sequence=1963 | window=14 | note=Keep the prior receipt until the next checkpoint is confirmed.
0152 | relay=cedar_16 | phase=queued | sequence=1976 | window=15 | note=Keep the prior receipt until the next checkpoint is confirmed.
0153 | relay=cedar_0 | phase=validated | sequence=1989 | window=16 | note=Keep the prior receipt until the next checkpoint is confirmed.
0154 | relay=cedar_1 | phase=committed | sequence=2002 | window=17 | note=Keep the prior receipt until the next checkpoint is confirmed.
0155 | relay=cedar_2 | phase=acknowledged | sequence=2015 | window=18 | note=Keep the prior receipt until the next checkpoint is confirmed.
0156 | relay=cedar_3 | phase=queued | sequence=2028 | window=19 | note=Keep the prior receipt until the next checkpoint is confirmed.
0157 | relay=cedar_4 | phase=validated | sequence=2041 | window=20 | note=Keep the prior receipt until the next checkpoint is confirmed.
0158 | relay=cedar_5 | phase=committed | sequence=2054 | window=21 | note=Keep the prior receipt until the next checkpoint is confirmed.
0159 | relay=cedar_6 | phase=acknowledged | sequence=2067 | window=22 | note=Keep the prior receipt until the next checkpoint is confirmed.
0160 | relay=cedar_7 | phase=queued | sequence=2080 | window=23 | note=Keep the prior receipt until the next checkpoint is confirmed.
0161 | relay=cedar_8 | phase=validated | sequence=2093 | window=1 | note=Keep the prior receipt until the next checkpoint is confirmed.
0162 | relay=cedar_9 | phase=committed | sequence=2106 | window=2 | note=Keep the prior receipt until the next checkpoint is confirmed.
0163 | relay=cedar_10 | phase=acknowledged | sequence=2119 | window=3 | note=Keep the prior receipt until the next checkpoint is confirmed.
0164 | relay=cedar_11 | phase=queued | sequence=2132 | window=4 | note=Keep the prior receipt until the next checkpoint is confirmed.
0165 | relay=cedar_12 | phase=validated | sequence=2145 | window=5 | note=Keep the prior receipt until the next checkpoint is confirmed.
0166 | relay=cedar_13 | phase=committed | sequence=2158 | window=6 | note=Keep the prior receipt until the next checkpoint is confirmed.
0167 | relay=cedar_14 | phase=acknowledged | sequence=2171 | window=7 | note=Keep the prior receipt until the next checkpoint is confirmed.
0168 | relay=cedar_15 | phase=queued | sequence=2184 | window=8 | note=Keep the prior receipt until the next checkpoint is confirmed.
0169 | relay=cedar_16 | phase=validated | sequence=2197 | window=9 | note=Keep the prior receipt until the next checkpoint is confirmed.
0170 | relay=cedar_0 | phase=committed | sequence=2210 | window=10 | note=Keep the prior receipt until the next checkpoint is confirmed.
0171 | relay=cedar_1 | phase=acknowledged | sequence=2223 | window=11 | note=Keep the prior receipt until the next checkpoint is confirmed.
0172 | relay=cedar_2 | phase=queued | sequence=2236 | window=12 | note=Keep the prior receipt until the next checkpoint is confirmed.
0173 | relay=cedar_3 | phase=validated | sequence=2249 | window=13 | note=Keep the prior receipt until the next checkpoint is confirmed.
0174 | relay=cedar_4 | phase=committed | sequence=2262 | window=14 | note=Keep the prior receipt until the next checkpoint is confirmed.
0175 | relay=cedar_5 | phase=acknowledged | sequence=2275 | window=15 | note=Keep the prior receipt until the next checkpoint is confirmed.
0176 | relay=cedar_6 | phase=queued | sequence=2288 | window=16 | note=Keep the prior receipt until the next checkpoint is confirmed.
0177 | relay=cedar_7 | phase=validated | sequence=2301 | window=17 | note=Keep the prior receipt until the next checkpoint is confirmed.
0178 | relay=cedar_8 | phase=committed | sequence=2314 | window=18 | note=Keep the prior receipt until the next checkpoint is confirmed.
0179 | relay=cedar_9 | phase=acknowledged | sequence=2327 | window=19 | note=Keep the prior receipt until the next checkpoint is confirmed.
0180 | relay=cedar_10 | phase=queued | sequence=2340 | window=20 | note=Keep the prior receipt until the next checkpoint is confirmed.
0181 | relay=cedar_11 | phase=validated | sequence=2353 | window=21 | note=Keep the prior receipt until the next checkpoint is confirmed.
0182 | relay=cedar_12 | phase=committed | sequence=2366 | window=22 | note=Keep the prior receipt until the next checkpoint is confirmed.
0183 | relay=cedar_13 | phase=acknowledged | sequence=2379 | window=23 | note=Keep the prior receipt until the next checkpoint is confirmed.
0184 | relay=cedar_14 | phase=queued | sequence=2392 | window=1 | note=Keep the prior receipt until the next checkpoint is confirmed.
0185 | relay=cedar_15 | phase=validated | sequence=2405 | window=2 | note=Keep the prior receipt until the next checkpoint is confirmed.
0186 | relay=cedar_16 | phase=committed | sequence=2418 | window=3 | note=Keep the prior receipt until the next checkpoint is confirmed.
0187 | relay=cedar_0 | phase=acknowledged | sequence=2431 | window=4 | note=Keep the prior receipt until the next checkpoint is confirmed.
0188 | relay=cedar_1 | phase=queued | sequence=2444 | window=5 | note=Keep the prior receipt until the next checkpoint is confirmed.
0189 | relay=cedar_2 | phase=validated | sequence=2457 | window=6 | note=Keep the prior receipt until the next checkpoint is confirmed.
0190 | relay=cedar_3 | phase=committed | sequence=2470 | window=7 | note=Keep the prior receipt until the next checkpoint is confirmed.
0191 | relay=cedar_4 | phase=acknowledged | sequence=2483 | window=8 | note=Keep the prior receipt until the next checkpoint is confirmed.
0192 | relay=cedar_5 | phase=queued | sequence=2496 | window=9 | note=Keep the prior receipt until the next checkpoint is confirmed.
0193 | relay=cedar_6 | phase=validated | sequence=2509 | window=10 | note=Keep the prior receipt until the next checkpoint is confirmed.
0194 | relay=cedar_7 | phase=committed | sequence=2522 | window=11 | note=Keep the prior receipt until the next checkpoint is confirmed.
0195 | relay=cedar_8 | phase=acknowledged | sequence=2535 | window=12 | note=Keep the prior receipt until the next checkpoint is confirmed.
0196 | relay=cedar_9 | phase=queued | sequence=2548 | window=13 | note=Keep the prior receipt until the next checkpoint is confirmed.
0197 | relay=cedar_10 | phase=validated | sequence=2561 | window=14 | note=Keep the prior receipt until the next checkpoint is confirmed.
0198 | relay=cedar_11 | phase=committed | sequence=2574 | window=15 | note=Keep the prior receipt until the next checkpoint is confirmed.
0199 | relay=cedar_12 | phase=acknowledged | sequence=2587 | window=16 | note=Keep the prior receipt until the next checkpoint is confirmed.
0200 | relay=cedar_13 | phase=queued | sequence=2600 | window=17 | note=Keep the prior receipt until the next checkpoint is confirmed.
0201 | relay=cedar_14 | phase=validated | sequence=2613 | window=18 | note=Keep the prior receipt until the next checkpoint is confirmed.
0202 | relay=cedar_15 | phase=committed | sequence=2626 | window=19 | note=Keep the prior receipt until the next checkpoint is confirmed.
0203 | relay=cedar_16 | phase=acknowledged | sequence=2639 | window=20 | note=Keep the prior receipt until the next checkpoint is confirmed.
0204 | relay=cedar_0 | phase=queued | sequence=2652 | window=21 | note=Keep the prior receipt until the next checkpoint is confirmed.
0205 | relay=cedar_1 | phase=validated | sequence=2665 | window=22 | note=Keep the prior receipt until the next checkpoint is confirmed.
0206 | relay=cedar_2 | phase=committed | sequence=2678 | window=23 | note=Keep the prior receipt until the next checkpoint is confirmed.
0207 | relay=cedar_3 | phase=acknowledged | sequence=2691 | window=1 | note=Keep the prior receipt until the next checkpoint is confirmed.
0208 | relay=cedar_4 | phase=queued | sequence=2704 | window=2 | note=Keep the prior receipt until the next checkpoint is confirmed.
0209 | relay=cedar_5 | phase=validated | sequence=2717 | window=3 | note=Keep the prior receipt until the next checkpoint is confirmed.
0210 | relay=cedar_6 | phase=committed | sequence=2730 | window=4 | note=Keep the prior receipt until the next checkpoint is confirmed.
0211 | relay=cedar_7 | phase=acknowledged | sequence=2743 | window=5 | note=Keep the prior receipt until the next checkpoint is confirmed.
0212 | relay=cedar_8 | phase=queued | sequence=2756 | window=6 | note=Keep the prior receipt until the next checkpoint is confirmed.
0213 | relay=cedar_9 | phase=validated | sequence=2769 | window=7 | note=Keep the prior receipt until the next checkpoint is confirmed.
0214 | relay=cedar_10 | phase=committed | sequence=2782 | window=8 | note=Keep the prior receipt until the next checkpoint is confirmed.
0215 | relay=cedar_11 | phase=acknowledged | sequence=2795 | window=9 | note=Keep the prior receipt until the next checkpoint is confirmed.
0216 | relay=cedar_12 | phase=queued | sequence=2808 | window=10 | note=Keep the prior receipt until the next checkpoint is confirmed.
0217 | relay=cedar_13 | phase=validated | sequence=2821 | window=11 | note=Keep the prior receipt until the next checkpoint is confirmed.
0218 | relay=cedar_14 | phase=committed | sequence=2834 | window=12 | note=Keep the prior receipt until the next checkpoint is confirmed.
0219 | relay=cedar_15 | phase=acknowledged | sequence=2847 | window=13 | note=Keep the prior receipt until the next checkpoint is confirmed.
0220 | relay=cedar_16 | phase=queued | sequence=2860 | window=14 | note=Keep the prior receipt until the next checkpoint is confirmed.
0221 | relay=cedar_0 | phase=validated | sequence=2873 | window=15 | note=Keep the prior receipt until the next checkpoint is confirmed.
0222 | relay=cedar_1 | phase=committed | sequence=2886 | window=16 | note=Keep the prior receipt until the next checkpoint is confirmed.
0223 | relay=cedar_2 | phase=acknowledged | sequence=2899 | window=17 | note=Keep the prior receipt until the next checkpoint is confirmed.
0224 | relay=cedar_3 | phase=queued | sequence=2912 | window=18 | note=Keep the prior receipt until the next checkpoint is confirmed.
0225 | relay=cedar_4 | phase=validated | sequence=2925 | window=19 | note=Keep the prior receipt until the next checkpoint is confirmed.
0226 | relay=cedar_5 | phase=committed | sequence=2938 | window=20 | note=Keep the prior receipt until the next checkpoint is confirmed.
0227 | relay=cedar_6 | phase=acknowledged | sequence=2951 | window=21 | note=Keep the prior receipt until the next checkpoint is confirmed.
0228 | relay=cedar_7 | phase=queued | sequence=2964 | window=22 | note=Keep the prior receipt until the next checkpoint is confirmed.
0229 | relay=cedar_8 | phase=validated | sequence=2977 | window=23 | note=Keep the prior receipt until the next checkpoint is confirmed.
0230 | relay=cedar_9 | phase=committed | sequence=2990 | window=1 | note=Keep the prior receipt until the next checkpoint is confirmed.
0231 | relay=cedar_10 | phase=acknowledged | sequence=3003 | window=2 | note=Keep the prior receipt until the next checkpoint is confirmed.
0232 | relay=cedar_11 | phase=queued | sequence=3016 | window=3 | note=Keep the prior receipt until the next checkpoint is confirmed.
0233 | relay=cedar_12 | phase=validated | sequence=3029 | window=4 | note=Keep the prior receipt until the next checkpoint is confirmed.
0234 | relay=cedar_13 | phase=committed | sequence=3042 | window=5 | note=Keep the prior receipt until the next checkpoint is confirmed.
